Department, Position
Fire, Fire Battalion Chief (Interim)
Fire, Fire Captain (Interim)
Fire, Fire Engineer (112 Hr)
Fire, Fire Engineer (Interim)
Fire, Fire Insp/Invest I
Fire, Fire Prev Engineer/Invest
Fire, Sr Fire Insp/Invest
Fire, Fire Battalion Chief 2.5%
Fire, Fire Battalion Chief 5%
Fire, Fire Captain 5%
Fire, Fire Captains 2.5%
Fire, Fire Chief W/Incentive
Fire, Fire Engineer 2.5%
Fire, Firefighter 2.5%
Fire, Paramedic/Firefighter 5%
Fire, Fire Marshall
Fire, Fire Battalion Chief 112
Fire, Fire Captain - Pm Cert
Fire, Fire Engineer - Pm Cert
Fire, Fire Prevention/Public Ed
Fire, Fire Captain II
Fire, Temporary Fire Prevention Technician
Fire, Deputy Fire Chief (Interim)
Fire, Fire Prevention Aide
Fire, Deputy Fire Marshal
Fire, Probation Firefighter Medic
Fire, Sr Deputy Fire Marshall
Fire, Dep Fire Chief
Fire, Fire Battalion Chief 80
Fire, Assistant Fire Marshal
Fire, Fire Bc Shift
Fire, Fire Inspector/Safety
Fire, Fire Prevention Aide (Hrly)
Fire, Firefighter Paramedic (40 Hour)
Fire, Fire Fighter Paramedic
Fire, Fire Insp/Invest I (Hrly)
Fire, Firefighter/Paramedic (112 Hr)
Fire, Fire Prevention Specialist I
Fire, Fire Prevention Specialist II
Fire, Fire Inspector I - Temp
Fire, Fire Engineer (40 Hour)
Fire, Firefighter Paramedic Recruit (56 Hour)
Fire, Fire Prevention Tech
Fire, Firefighter Paramedic
Fire, Fire Battalion Chief (112 HR)
Fire, Fire Battalion Chief (80 HR)
Fire, Fire Captain (112 HR)
Fire, Fire Captain (80 HR)
Fire, Fire Eng (112 HR)
Fire, Fire Eng (80 HR)
Fire, Firefighter (112 HR)
Fire, Firefighter/Paramedic (112 HR)
Fire, Fire  Chief
Fire, Dept Spec/ Fire Chief
Fire, Fire Prevention Aide (Hourly)
Fire, Firefighter/Paramedic (80 Hr)
Fire, Fire Battalion Chief Shift
Fire, Fire/Ems Support Specialist
Fire, Fire Battalion Chief - A
Fire, Fire Battalion Chief - C
Fire, Fire Captain - A
Fire, Fire Captain - C
Fire, Fire Engineer - A
Fire, Fire Engineer - C
Fire, Fire Inspector/Investigator I
Fire, Fire Inspector/Investigator II
Fire, Fire Recruit
Fire, Firefighter - A
Fire, Firefighter/Paramedic - A
Fire, Firefighter/Paramedic - C
Fire, Senior Fire Inspector/Investig
Fire, Firefighter Paramedic Recruit (40 Hour)
Fire, Fire Captain - B
Fire, Firefighter/Paramedic - B
Fire, Senior Fire Inspector/Investing
Fire, Fire Inspector I
Fire, Fire Captain/Paramedic
Fire, Fire Engineer/Paramedic
Fire, Fire Safety Inspector
Fire, Senior Fire Inspector
Fire, Ems Educator
Fire, Firefighter - C
Fire, Paramedic Firefighter
Fire, Interim Fire Chief
Fire, Fire Inventory Specialist
Fire, Fire Division Chief 5%
Fire, Fire Engineer 5%
Fire, Paramedic/Firefighter 2.5
Fire, Fire Batt Chief 80 Pmcert
Fire, Fire Plans Examiner
Fire, Fire Captain - C (Hourly)
Fire, Fire Bat Chief - 80 Hours
Fire, Fire Battalion Chief - 112 Hours
Fire, Fire Captain - 112 Hours
Fire, Paramedic/Firefighter - 112 Hours
Fire, Fire Bat Chief 112 Pmcert
Library, School Site Coordinator
Police, Chief Of Police
Police, Chief Of Police (Hourly)
Police, Police Agent
Police, Police Cadet
Police, Police Captain
Police, Police Comm Relations Spec
Police, Police Comm Systems Manager
Police, Police Data Specialist
Police, Police Dispatcher
Police, Police Dispatcher Supervisor
Police, Police Lieutenant
Police, Police Records Specialist
Police, Police Records Transcriptionis
Police, Police Recruit
Police, Police Sergeant
Police, Police Services Officer
Police, Police Services Technician
Police, Police Support Services Mgr
Police, Police Svcs Tech (Hourly)
Police, Police Technology Specialist
Police, Sr Police Data Specialist
Police, Dir. Of Police Services
Police, Police Comm. Rela. Coord.
Police, Police Commander
Police, Police Dispatch/Rec. Asst
Police, Police Officer
Police, Police Services Offcr II
Police, Senior Police Officer
Police, Police Chief
Police, Police Records Manager
Police, Police Records Supervisor
Police, Police Sargeant
Police, Secretary to Police Chief
Police, Asst Chief of Police
Police, Dept Spec/Police Data Tech I
Police, Police Comm Outreach Liaison
Police, Police Data Technician II
Police, Police Officer Trainee
Police, Police Projects Specialist
Police, Police Records Technician
Police, Police Services Bureau Mgr
Police, School Crossing Guard
Police, Police Property Officer
Police, Police Services Manager
Police, Police Services Specialist
Police, Under contract tied to Police Sergeant
Police, Assistant Chief Of Police
Police, Police Corporal
Police, Police Investigative Aide
Police, Police Operations Assistant
Police, Police Records Clerk
Police, Police Support Services Mgr.
Police, Reserve Police Officer
Police, Senior Police Dispatcher
Police, Director Of Police Services
Police, Police Community Relations Coordinator
Police, Police Dispatch/Records Assistant
Police, Police Services Officer II
Police, Police Support Service Supervisor
Police, Assistant Police Chief
Police, Assistant to the Police Chief/Civilian
Police, Confidential Secretary to Police Chief
Police, Executive Assistant Police Chief
Police, Police Agent (Terminal)
Police, Police Agent(Terminal)
Police, Police Code Compl Officer
Police, Police Code Compliance Officer
Police, Police Code Compliance Supervisor
Police, Police Detective
Police, Police Dispatch Administrator
Police, Police Dispatch Supervisor
Police, Police Investigative Aide II
Police, Police Investigative Aide II(Latent Print Examiner Aide)
Police, Police Invstgtv Aide II
Police, Police Lead Dispatcher
Police, Police Officer I
Police, Police Officer II
Police, Police Officer III
Police, Police Property & Evid Clerk
Police, Police Property And Evidence Clerk
Police, Police Records Data Specialist
Police, Police Records Data Specialist Supervisor
Police, Police Service Officer I
Police, Police Service Officer II
Police, Police Service Officer II (African Service Officer)
Police, Police Service Officer II (Indochinese Service Officer II)
Police, Police Service Officer II(Indochinese Senior Officer II)
Police, Senior Police Records Clerk
Police, Senior Property And Evidence Supervisor (Police Property And Evidence Supervisor)
Police, Police Records Transcriptionist
Police, Police Services Tech (Hourly)
Police, Police Support Services Manager
Police, Senior Police Data Specialist
Police, Secretary To Police Chief
Police, Department Specialist/Police Data Technician I
Police, Police Services Bureau Manager
Police, Police Services Technician-Temp
Police, Police Training Coordinator
Police, Senior Police Records Technician
Police, Assistant to the Police Chief/Civil
Police, City Attorney Investigator
Police, Police Code Compl Supervisor
Police, Police Service Officer II (African Seniorv Officer)
Police, Police Service Officer II (Indochinese Senior Officer II)
Police, Police Dispatcher (Hourly)
Police, Police Records Spec (Hourly)
Police, Police Services Officer Supervisor
Police, Police Capt. 7.5%
Police, Police Captain 13%
Police, Police Chief 7.5%
Police, Police Lieutenant 13%
Police, Police Lieutenant 5%
Police, Police Lieutenant 7.5%
Police, Police Officer 2.5%
Police, Police Officer 5%
Police, Police Records Manager W/Mast
Police, Police Sergeant 5%
Police, Assistant Chief of Police
Police, Dept. Spec/Police Data Tech I
Police, Police Services Analyst
Police, Police Services Tech.
Police, Conf Secretary to Police Chief
Police, Police Property & Evidence Clerk
Police, Police Records Data Spec
Police, Police Records Data Spec Supervisor
Police, Police Serv Officer II(African Serve Officer)
Police, Police Serv Officer II(Indochinese Serve Of II)
Police, Sr Police Records Clerk
Police, Police Svcs Officer Supervisor
Police, Security To Police Chief
Police, Asst Chief Of Police
Police, Department Spec/Police Data Tech I
Police, Police Services Tech-Temp
Police, Police Srvs Specialist
Police, Police Investigator
Police, Police Officer Recruit
Police, Police Code Compl Ofcr
Police, Police Dispatch Admnstr
Police, Police Invstgtv Serv Ofcr 2
Police, Police Invstgtv Serv Ofcr 2(Lt Pn Ex Ad)
Police, Police Officer 1
Police, Police Officer 2
Police, Police Officer 3
Police, Police Serv Ofcr 2(African Srv Ofcr)
Police, Police Serv Ofcr 2(Indochinese Srv Of 2)
Police, Police Admin Svcs Administrato
Police, Police Services Officer (Hrly)
Police, Dept. Spec/Police Records Tech
Police, Police Services Bureau Mgr.
Police, Police Officer - Temp
Police, Police Ser Tech-Temp/Pers
Police, Police Dispatch Supv
Police, Police Invstgtv Serv Ofcr 1
Police, Police Records Data Spec Supv
Police, Sr. Police Records Clerk
Police, Police Tech Specialist (Hrly)
Police, Sr Police Technology Spec
Police, Police Dispatcher Supv
Police, Police Records Mgr.
Police, Police Records Supv
Police, Police Captain - Temp
Police, Police Chief-Temp
Police, Conf Secretary To Police Chief
Police, Police Invstgtv Serv Officer 1
Police, Police Invstgtv Serv Officer 2
Police, Police Invstgtv Serv Officer 2(Lt Pn Ex Ad)
Police, Police Serv Officer 1(Indochinese Srv Officer)
Police, Police Serv Officer 2(African Srv Officer)
Police, Police Serv Officer 2(Indochinese Srv Of 2)
Police, Police Tech Specialist (HRly)
Police, Police Technology Manager
Police, Sr Police Records Specialist
Police, Police Record Manager
Police, Dept Spec/Police Records Tech
Police, Executive Asst-Chief of Police
Police, Police Busines Mgr
Police, Asst Police Chief
Police, Police Property & Evid Clrk
Police, Police Serv Ofcr 1(Indochinese Srv Ofcr)
Police, Police Admin Services Administrator
Police, Police Tech Specialist (Hourly)
Police, Senior Police Records Specialist
Police, Department Spec/Police Records Tech
Police, Executive Assistant-Chief Of Police
Police, Police Business Manager
Police, Police Services Tech-Temp/Pers
Police, Police Dispatch Admin
Police, Police Investigative Services Officer I
Police, Police Investigative Services Officer II
Police, Police Investigative Services Officer II (Lt Pn Ex Ad)
Police, Police Property & Evidence Specialist
Police, Police Property & Evidence Supervisor
Police, Police Services Officer I (Indochinese Services Officer)
Police, Police Services Officer II (African Services Officer)
Police, Police Services Officer II (Indochinese Services Officer II)
Police, Senior Police Prop & Evidence Supervisor
Police, Civilian Police Investigator
Police, Police Dispatcher Trainee
Police, Senior Police Records Spec
Police, Police Prop Officer I
Police, Police Prop Officer II
Police, Police Property & Evid Spec
Police, Police Property & Evid Supv
Police, Sr Police Prop & Evid Supv
Police, Police Support Services Aide
Police, Senior Police Technology Spec
Police, Secretary To The Police Chief
Police, Police Services Spec-Temp
Police, Police Services Tech
Police, Police Investigative Services Officer 1
Police, Police Investigative Services Officer 2
Police, Police Property & Evidence Spec
Police, Police Services Officer 2(African Srv Officer)
Police, Police Services Officer 2(Indochinese Srv Of 2)
Police, Police Admin Services Admin
Police, Police Communications Sys Manager
Police, Police Facility & Supply Coordinator
Police, Police Records & Support Supervisor
Police, Executive Assistant To Police Chief
Police, Supervising Police Dispatcher
Police, Executive Asst-Chief Of Police
Police, Police Dispatch Administer
Police, Police Admin Svcs Administrator
Police, Police Communications Sys Mgr.
Police, Police Facility & Supply Coord
Police, Police Records & Support Supv
Police, Police Business Mgr.
Police, Police Public Information Officer
Police, Confidential Secretary To Police Chief
Police, Police Investigative Service Officer I
Police, Police Investigative Service Officer II
Police, Police Property And Evidence Specialist
Police, Police Property And Evidence Supervisor
Police, Senior Police Property And Evidence Supervisor
Police, Police Dispatch Call Taker
Police, Ex Assist To Police Chief
Police, Police Captain 10%
Police, Police Captain 7.5%
Police, Police Corporal 10%
Police, Police Dispatcher I
Police, Police Dispatcher II
Police, Police Lieutenant 10%
Police, Police Officer 10%
Police, Police Officer 3%
Police, Police Sergeant 10%
Police, Police Sergeant 15%
Police, Police Services Officer I
Police, Police Srvcs Officer II
Police, Super Police Dispatcher
Police, Dep Dir Of Police Support Svc
Police, Police Special Project Manager
Police Dept Grants Fund, Police Agent
Police Dept Grants Fund, Police Sergeant
Public Works, Gis Fire Mapping Intern
Public Works, Fire Apparatus Mech
Public Works, Fire Apparatus Mechanic
Public Works, Fire Apparatus Mechanic (T)
Public Works, Pw Lead Fire Mechanic
Recreation, H/Preschool Instructor
Supp Law Enforcement Serv Fund, Police Training & Dev Supv
Supp Law Enforcement Serv Fund, Police Sergeant
Fire Services, Dir. Of Fire Services
Fire Services, Fire Captain
Fire Services, Fire Div. Chief
Fire Services, Fire Engineer
Fire Services, Fire Fighter
Fire Services, Fire Fighter - Paramedic
Fire Services, Director Of Fire Services
Fire Services, Fire Division Chief
Fire Services, Fire Battalion Chief
Fire Services, Fire Engineer - Paramedic
Fire Services, Firefighter
Fire Services, Firefighter/Paramedic
Fire Services, Director of Fire Services
Fire Services, Fire Prevention Aide
Community Services, Police Dispatcher
Planning, Building Officer/Fire Marshall
Planning, Fire Safety Specialist
Parks & Recreation, Ps Director/Fire Chief
Parks & Recreation, H/Preschool Instructor
Risk Management, Fire Captain
Risk Management, Fire Fighter II
Risk Management, Police Officer II
Water, Police Property And Evidence Clerk
Community Development, Building Official/Fire Marshall
Community Development, Build Officer/Fire Marshall
Community Development, Build Office/Fire Marshall
Community Development, Supervisor Building/Fire Safety Inspect
Community Development, Building Officer/Fire Marshall
Community Development, Supervisor Building/ Fire Inspector
Community Development, Supervisor Building/Fire Safety Inspector
Community Development, Fire Marshal-Temp
Community Development, Building & Fire Inspector
Public Safety, Fire Captain
Public Safety, Fire Engineer
Public Safety, Fire Engineer Paramedic
Public Safety, Fire/Safety Inspector
Public Safety, Firefighter/Paramedic
Public Safety, Residential Fire/Safety Insp
Public Safety, Fire/Safety Inspector 11
Public Safety, Ps Director/Fire Chief
Public Safety, Public Safety Director/Fire Chief
Public Safety, Residential Fire/Safety Inspector
Public Safety, PS Director/Fire Chief
Public Safety, Firefighter/Paramedic Recruit
Public Safety, Fire Chief
Fire - Operations, Deputy Fire Marshal
Fire - Operations, Fire Battalion Chief
Fire - Operations, Fire Captain
Fire - Operations, Fire Engineer
Fire - Operations, Firefighter
Fire Administration, Fire Chief
Fire Administration, Fire Inspector
Fire Administration, Deputy Fire Chief
Fire Administration, Fire Battalion Chief-40 hr
Fire Administration, Fire Battalion Chief-40 Hr.
Fire Administration, Fire Battalion Chief
Fire Administration, Fire Bc Shift
Fire Administration, Fire Division Chief
Fire Administration, Director Fire & Life Safety
Fire Administration, Dir Fire & Life Safety
Fire Administration, Acting Fire Chief
Fire Administration, Fire Marshal
Fire Administration, Assistant Fire Chief
Fire Administration, Director Fire And Life Safety
Fire Administration, Fire Captain-40 Hr.
City Attorney                 , Assistant City Attorney  - Barbara Hamilton
City Attorney                 , City Attorney
City Attorney                 , Deputy City Attorney II 
City Attorney                 , Deputy City Attorney II  - Dborah Nash
City Attorney                 , Deputy City Attorney II  - Leslie Gallagher
City Attorney                 , Supervising Deputy City Attorney  - Tarquin Preziosi
City Attorney                 , Assistant City Attorney 
City Attorney                 , Supervising Deputy City Attorney 
Fire                          , Fire Battalion Chief (40 Hour)
Fire                          , Fire Battalion Chief (56 Hour)
Fire                          , Fire Captain (40 Hour)
Fire                          , Fire Captain (56 Hour)
Fire                          , Fire Chief 
Fire                          , Fire Engineer (56 Hour)
Fire                          , Fire Safety Specialist
Fire                          , Firefighter Paramedic (56 Hour)
Police                        , Police Cadet
Police                        , Police Captain  
Police                        , Police Chief 
Police                        , Police Lieutenant 
Police                        , Police Officer
Police                        , Police Records Manager
Police                        , Police Records Supervisor   
Police                        , Police Records Technician
Police                        , Police Sergeant
Police                        , Police Training Coordinator
Police                        , Senior Police Records Technician
Safety Services Department, Fire Captain
Safety Services Department, Fire Captain/Paramedic
Safety Services Department, Fire Division Chief
Safety Services Department, Fire Engineer
Safety Services Department, Fire Engineer/Paramedic
Safety Services Department, Firefighter/Paramedic
Safety Services Department, Senior Fire Safety Inspector
Safety Services Department, Fire Safety Inspector
Safety Services Department, Deputy Fire Chief
Safety Services Department, Fire Battalion Chief
Civil Service Approved Leave, Police Detective
Civil Service Approved Leave, Police Officer II
Development Services, Fire Prevention Inspector II
Development Services, Fire Prevention Inspector II/Civ
Development Services, Senior Engineer-Fire Protection
Development Services, Sr Engineer-Fire Protection
Development Services, Sr. Engineer-Fire Protection
Development Services, Asoc Eng-Fire Protection
Development Services, Associate Eng.-Fire Protection
Development Services, Associate Engineer - Fire Protection
Development Services, Senior Fire Protection Engineer
Ethics Commission, City Attorney Investigator
Ethics Commission, Senior City Attorney Investigator
Ethics Commission, Sr City Attorney Investigator
Fire Department, Assistant Fire Chief
Fire Department, Assistant Fire Marshal
Fire Department, Assistant To Fire Chief
Fire Department, Deputy Fire Chief
Fire Department, Fire Battalion Chief
Fire Department, Fire Captain
Fire Department, Fire Captain - Mast
Fire Department, Fire Chief
Fire Department, Fire Dispatch Administrator
Fire Department, Fire Dispatch Supervisor
Fire Department, Fire Dispatcher
Fire Department, Fire Engineer
Fire Department, Fire Engineer - Mast
Fire Department, Fire Fighter I
Fire Department, Fire Fighter II
Fire Department, Fire Helicopter Pilot
Fire Department, Fire Prevention Inspector I
Fire Department, Fire Prevention Inspector II
Fire Department, Fire Prevention Inspector II/Civ
Fire Department, Fire Prevention Supervisor
Fire Department, Fire Prevention Supervisor/Civilian
Fire Department, Fire Recruit
Fire Department, Director of Fire and Life Safety
Fire Department, Fire Division Chief
Fire Department, Fire Prevention Specialist
Fire Department, Temporary Fire Chief
Fire Department, Director Of Fire Life And Safety
Fire Department, Fire Captain/Paramedic
Fire Department, Fire Engineer/Paramedic
Fire Department, Firefighter
Fire Department, Firefighter Paramedic
Fire Department, Director Fire and Life Safety
Fire Department, Firefighter/Paramedic
Fire Department, Temporary Fire Prevention Technician
Fire Department, Deputy Fire Marshal
Fire Department, Paramedic/Firefighter
Fire Department, Fire Captain (Shift)
Fire Department, Fire Engineer  + Paramedic
Fire Department, Firefighter + Paramedic
Fire Department, Temp Fire Prevention Tech
Fire Department, Fire Engineer / Paramedic
Fire Department, Firefighter / Paramedic
Homeland Security, Police Sergeant
Police Department, Assistant Police Chief
Police Department, Assistant To Police Chief/Civilian
Police Department, Conf Secretary To Police Chief
Police Department, Executive Assistant Police Chief
Police Department, Police Administrative Services Dir
Police Department, Police Agent (terminal)
Police Department, Police Captain
Police Department, Police Chief
Police Department, Police Code Compliance Officer
Police Department, Police Code Compliance Supervisor
Police Department, Police Detective
Police Department, Police Dispatch Administrator
Police Department, Police Dispatch Supervisor
Police Department, Police Dispatcher
Police Department, Police Investigative Aide II
Police Department, Police Lead Dispatcher
Police Department, Police Lieutenant
Police Department, Police Officer I
Police Department, Police Officer II
Police Department, Police Property & Evidence Clerk
Police Department, Police Records Clerk
Police Department, Police Records Data Specialist
Police Department, Police Records Data Specialist Supv
Police Department, Police Recruit
Police Department, Police Sergeant
Police Department, Police Service Officer I
Police Department, Police Service Officer II
Police Department, Senior Police Records Clerk
Police Department, Police Dispatcher Supv
Police Department, Police Officer
Police Department, Police Records Mgr.
Police Department, Police Records Specialist
Police Department, Police Records Supv
Police Department, Police Services Officer
Police Department, Secretary To Police Chief
Emergency Medical Services, Firefighter Paramedic
Emergency Medical Services," ""Fire Fighter/Paramedic A"
Emergency Medical Services, Fire Battalion Chief
Emergency Medical Services, Fire Fighter II
Emergency Medical Services, Firefighter/Paramedic
Emergency Medical Services, Deputy Fire Chief
Emergency Medical Services, Fire Captain
Emergency Medical Services, Fire Fighter 2
Emergency Medical Services, Firefighter II
Emergency Operations, Fire Captain
Emergency Operations, Fire Captain/Paramedic
Emergency Operations, Fire Engineer
Emergency Operations, Fire Engineer/Paramedic
Emergency Operations, Firefighter
Emergency Operations, Firefighter Paramedic
Emergency Operations, Fire Captain/Pm
Emergency Operations, Fire Engineer/Pm
Emergency Operations, Fire Battalion Chief
Emergency Operations, Fire Captain/ Paramedic
Emergency Operations, Fire Engineer /Paramedic
Emergency Operations, Fire Battalion Chief - Administrative
Fire Suppression, Fire Battalion Chief-56 hr
Fire Suppression, Fire Captain-56 hr
Fire Suppression, Fire Engineer
Fire Suppression," ""Fire Fighter/Paramedic A"
Fire Suppression, Firefighter/Paramedic
Fire Suppression, Fire Battalion Chief-56 Hr.
Fire Suppression, Fire Captain-40 Hr.
Fire Suppression, Fire Captain-56 Hr.
Fire Suppression, Fire Battalion Chief-56 Hr
Fire Suppression, Fire Captain-56 Hr
Fire Suppression, Fire Captain-40 Hr
Fire Suppression, Fire Battalion Chief-56 Hour
Fire Suppression, Fire Captain-40 Hour
Fire Suppression, Fire Captain-56 Hour
Fire Suppression," ""Fire Fighter/Pm A"
Fire Training, Fire Battalion Chief-40 hr
Fire Training, Fire Battalion Chief-40 Hr.
Fire Training, Fire Battalion Chief-40 Hr
Fire Training, Fire Battalion Chief-40 Hour
Redevelopment & Housing, Building Official/Fire Marshall
American Recovery & Reinvest. Act, Deputy City Attorney II
American Recovery & Reinvest. Act, Police Agent
American Recovery & Reinvest. Act, Police Comm Relations Spec
City Manager's Office, City Attorney
#N/A, Deputy City Attorney
#N/A, Fire Captain
#N/A, Fire Prevention Inspector II
Fire-Rescue, Assistant Fire Chief
Fire-Rescue, Assistant Fire Marshal
Fire-Rescue, Assistant to the Fire Chief
Fire-Rescue, Deputy Fire Chief
Fire-Rescue, Fire Battalion Chief
Fire-Rescue, Fire Captain
